"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
5750ecad-e1f2-434e-aad4-be361aebdedc,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,eed88497-55aa-407a-a16a-3fe6b9050d26,"#N/A","#N/A",WDCHIP
575d44fb-73a0-41cb-abe3-3243598cba37,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,5e001bb9-73ca-431d-9987-c801517ed098,"#N/A","#N/A","#N/A"
5a6a628e-05ed-4ef1-b487-1c533e3ea6c2,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,cb65dd51-fee4-44c4-a47a-e702e1614886,"#N/A","#N/A",EP-013
5bf0c048-f42d-45a1-81d2-213377bd641c,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,9f2a630d-e4a5-45fc-92d4-0fd97dce4449,"#N/A","#N/A",EP-014
5fb3cada-8514-41c5-9c7e-2f3ee4a726b8,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,cd7b5a2a-a683-41a7-8ab1-1644c27511cf,"#N/A","#N/A","#N/A"
61799587-47d7-4dbd-9c67-77ba4b781cbf,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,41b052c5-23d3-4c50-8e53-daf3a6e5132e,"#N/A","#N/A",fdhfvu6578
6631fbb1-30d2-4eb9-9c60-502201827c13,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,794b9a95-576f-41e8-a495-2535ec5aaef0,"#N/A","#N/A",WDCHIP
66862d27-72a3-4e63-9fed-4f75991d52f3,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,c97ff48d-60b5-4522-9355-4d14d0737171,"#N/A","#N/A",EP-014
67c1f5c0-5880-433a-934a-02c609ab7650,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,fe3011ef-f979-404b-8f96-fe055cb59c98,"#N/A","#N/A",EP-025
6878f7fa-8642-42af-a681-0efe5d9a4fbb,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,9aae6d07-3547-4c6d-9453-2fbe51f0ad95,"#N/A","#N/A","#N/A"
69c825a8-3f59-455c-ae78-82e611d440b2,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,e583b22f-1dfa-4020-9452-3f5293dbce58,"#N/A","#N/A",Quote
71f5d6bd-f885-4181-8b72-abcbfb78f27e,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,7c1984e4-d2b6-4b57-868b-c67a7e4df319,"#N/A","#N/A",Run-on-all-quotelines
76dd12f5-ef55-401a-9455-61976a5729b6,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,fe3011ef-f979-404b-8f96-fe055cb59c98,"#N/A","#N/A",0
771811f9-5be9-44e5-984e-c3176eab618a,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,1ba70710-0239-444a-b267-4c47c4bdcbed,"#N/A","#N/A","#N/A"
77c6faf9-9ba4-4078-9c2e-36b588c04aa9,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,d63790ca-0008-41c4-b2ed-0e913ab40985,"#N/A","#N/A",EP-015
7849df46-5d41-4e4b-9caf-629f2b982f80,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,8517b4b5-a80b-4029-8817-0389b110cf8e,"#N/A","#N/A",EP-015
