"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
5a25ec88-dc74-43dd-ae46-bc278565079b,Unit Price,"#N/A","#N/A",7de3f08f-5c96-4fce-aa21-b246e20c3bea,"#N/A","#N/A",Product Option,"#N/A",123
5b1d23aa-3dc7-4339-8b69-927f56322e7a,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,3ae9dc0c-5ff4-491c-ba1b-3c4421c4d96f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
5c806269-aa65-45ec-ab18-0d89631319da,SBQQ__Quantity__c,Protected_Devices__c,1.0,824361e8-ff08-4414-bb05-b7fe11572363,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
69eab61a-f702-4d50-90ce-f5e62a39ed70,Discount (%),"#N/A","#N/A",7c1984e4-d2b6-4b57-868b-c67a7e4df319,"#N/A","#N/A",Quote Line,"#N/A",45
6eb40cc9-18a7-4576-9b38-5f0e888b4aa5,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",794b9a95-576f-41e8-a495-2535ec5aaef0,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
6ef1dc50-b16f-4009-a52a-c3a947441fae,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,c81f5115-5f2d-4b2b-ae6c-bc5f8d6c6612,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
77f116d8-321a-452c-8094-4bdab6816fe4,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,c81f5115-5f2d-4b2b-ae6c-bc5f8d6c6612,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
7f0f3268-4873-473c-83eb-cb578d5bb9d4,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,5eabe791-2f06-4fb9-bd1a-202f66c5bf2a,"#N/A","#N/A",Product Option,"#N/A","#N/A"
8334d8d8-51a3-4ed4-9982-6b1f820f1096,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,38e3ec40-c594-43c3-a87b-e83aa7d8134f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
8523ad76-8bb8-4f79-9e2a-c55ccc72d3df,Discount (Amt),"#N/A","#N/A",71a6cdd0-fef1-47be-9657-7863fc3e051f,"#N/A","#N/A",Quote Line,"#N/A",10
885d0f95-f9e8-4981-a509-4f350563c2af,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",8d3347b5-c901-4501-9710-db3d7c84aba7,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
8a6857f4-d65f-42e9-87dc-0fa12f7dbf77,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",ccf4cc03-badb-46d6-a45f-0305fd5c4281,"#N/A","#N/A",Quote,"#N/A",4
8c8aa998-7960-4fbb-b4b8-e52d0d8dc7b4,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,9aae6d07-3547-4c6d-9453-2fbe51f0ad95,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
8ddeef48-bf4b-441a-ae89-d2c08762f7c2,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",865daabd-b880-4e01-857c-be6cd4abe320,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
906dfa27-bb6f-4794-b60d-aa9d50f6c1ef,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",794b9a95-576f-41e8-a495-2535ec5aaef0,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
9b2a6539-42b7-4551-852e-2fbf334f8fc3,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,e122283e-cd7e-4653-a377-2bbdd482cc64,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
a4bfba7f-069c-4e1f-83fc-574cb4a93f02,Discount (%),"#N/A","#N/A",bde69140-d770-47b4-992d-d9ab69ee5bdc,"#N/A","#N/A",Quote Line,"#N/A",45
a7482d24-9ba4-437d-b196-18f64dd2c323,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",0c232ec8-9925-42f6-98ae-b4dbbc97e01c,"#N/A","#N/A",Quote,"#N/A",5
add60082-515b-413b-8a18-5f6b573d78e5,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",4ae489e9-3bde-4848-8108-1245a52c77a5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
af7091fe-da9b-4eef-bcf8-5b5b4348af4b,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",b625981e-7305-4d3b-bc6c-ba80c59a254b,"#N/A","#N/A",Quote,"#N/A",3
b12f8fb9-5728-4aea-b65c-48fa61f61918,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,5b88040a-6da7-4e1e-b767-c23f30e58220,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
b23403bd-bebe-4509-9596-2d70c605ac8d,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,b188fcf9-1d51-4329-8324-72645a96ae96,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
c082e60b-3fab-473d-a0fa-55d7a557d45f,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",1609f211-4f07-42cd-b562-9a7dbee9a00b,"#N/A","#N/A",Quote,"#N/A",10
cc1626e7-c40e-423f-a086-47b50c95ecad,Discount (%),"#N/A","#N/A",0b8f40c3-9755-4eea-8c42-59adb1fe7253,"#N/A","#N/A",Quote Line,"#N/A",45
cd6e118f-f8fd-491a-bea1-501a4e1b7dd2,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",d2fc40f0-cfaf-4a84-b311-eaaf22769f8d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
cf755fdc-b9c8-478c-ac7a-08b97bc6f8c4,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",775e3af0-cd04-4bc6-b329-bc5f804a51d5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
d3b44696-080d-4105-b96f-45e77923ab94,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,19899349-fe05-4a84-840b-42e01c2215d1,"#N/A","#N/A",Product Option,"#N/A","#N/A"
e0db1256-8514-4953-bc32-6eb8c58e601e,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",8d3347b5-c901-4501-9710-db3d7c84aba7,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
eae7eac4-8106-4b27-9660-c4ccf11ca7b2,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",865daabd-b880-4e01-857c-be6cd4abe320,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
efcff888-c5ab-4ebc-b48f-b1a861df8fd7,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",e2d712c2-6132-462f-9155-d6b621375d78,"#N/A","#N/A",Quote,"#N/A",3
f17a5641-1b85-47d8-8271-76de7aa3fe87,Discount (%),"#N/A","#N/A",e67cba4b-519d-4688-a561-c213552489c4,"#N/A","#N/A",Quote Line,"#N/A",20
f4df02c0-85e4-4290-a1d3-96e893f8b90f,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,3e185d8d-b290-47b9-a46b-c9373ac198f3,"#N/A","#N/A",Product Option,"#N/A","#N/A"
f5df53cc-f612-49c1-a6f8-bc0e9a37586b,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,38e3ec40-c594-43c3-a87b-e83aa7d8134f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
fab38247-75ed-4316-babc-5e1bcb3f6547,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,336d1848-3105-42f8-8092-28c440df5643,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
fd952d4c-8e1f-4f67-82a1-410a625601e0,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,3ae9dc0c-5ff4-491c-ba1b-3c4421c4d96f,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
fec86916-6970-4086-9082-5c0de294c044,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",ddb5a857-66e9-44c9-81a7-099dc129755d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ffd4def5-0249-4c9c-a8e1-84b2c1d5a884,SBQQ__Quantity__c,Protected_Devices__c,1.0,7c44cabd-e7a4-466b-911d-c50cd736e054,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
