"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
a745233b-4ee4-42d0-945c-a978ee274aeb,Bottom,"#N/A",0.0,false,"#N/A",6799dae5-a757-4498-b831-f545883ae1cf,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",9cc5bb43-e867-425a-9253-d5be4743add1,0.0
b5609ca6-0c36-4ec9-9873-db099287eee7,Lines,"#N/A",0.0,false,"#N/A",b438ed58-4b82-4693-9603-7337bf9f3a16,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",9cc5bb43-e867-425a-9253-d5be4743add1,0.0
c570aabe-6dbb-4b0a-b21e-2d4568dd2c38,Top,"#N/A",0.0,false,"#N/A",2a20f779-947d-4ad9-bf4e-40e57f33405d,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",9cc5bb43-e867-425a-9253-d5be4743add1,0.0
