"Guid","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__Locked__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c"
19d53e9d-685c-47f2-ab57-b528874d4d25,false,"#N/A","#N/A",All,false,"#N/A",2.0,"#N/A","#N/A",Draft,"#N/A"
51c144f2-2514-4031-bc9f-4f1f6a2d08c9,false,"#N/A","#N/A",All,false,"#N/A",5.0,"#N/A","#N/A",Draft,"#N/A"
89d5dd05-8dc3-4194-99c2-a15bf9c8a665,false,"#N/A","#N/A",All,false,"#N/A",4.0,"#N/A","#N/A",Draft,"#N/A"
92a4ce58-4aca-45a5-9ca6-5dbb1992f953,false,"#N/A","#N/A",All,false,"#N/A",3.0,"#N/A","#N/A",Draft,"#N/A"
991a13c7-e90d-410c-85ea-37a81cf3cc36,false,"#N/A","#N/A",All,false,"#N/A",1.0,"#N/A","#N/A",Draft,"#N/A"
